      1 1   0.24250000   3.06750000   2.65875000
      2 1   0.42500000   2.88500000   2.93250000
      3 1   0.60750000   3.06750000   3.20625000
      4 1   0.42500000   3.25000000   2.56750000
      5 1   0.60750000   3.43250000   2.84125000
      6 1   0.06000000   3.25000000   2.75000000
      7 1   0.42500000   3.25000000   3.29750000
      8 1   0.42500000   3.61500000   2.93250000
      9 1   0.24250000   3.43250000   3.02375000
     10 1   0.97250000   3.06750000   3.02375000
     11 2   1.15500000   2.88500000   3.29750000
     12 2   1.15500000   3.25000000   2.93250000
     13 2   1.15500000   3.25000000   3.66250000
     14 2   1.15500000   3.61500000   3.29750000
     15 1   0.97250000   3.43250000   3.38875000
     16 2   1.88500000   2.88500000   3.66250000
     17 2   1.88500000   3.25000000   3.29750000
     18 2   1.88500000   3.25000000   4.02750000
     19 2   1.88500000   3.61500000   3.66250000
     20 2   2.61500000   2.88500000   4.02750000
     21 2   2.61500000   3.25000000   3.66250000
     22 2   2.61500000   3.25000000   4.39250000
     23 2   2.61500000   3.61500000   4.02750000
     24 2   3.34500000   2.88500000   4.39250000
     25 2   3.52750000   3.06750000   4.66625000
     26 2   3.34500000   3.25000000   4.02750000
     27 2   3.52750000   3.43250000   4.30125000
     28 2   3.34500000   3.25000000   4.75750000
     29 2   3.34500000   3.61500000   4.39250000
     30 2   3.89250000   3.06750000   4.48375000
     31 2   4.07500000   2.88500000   4.75750000
     32 2   4.25750000   3.06750000   5.03125000
     33 2   4.07500000   3.25000000   4.39250000
     34 2   4.25750000   3.43250000   4.66625000
     35 2   4.07500000   3.25000000   5.12250000
     36 2   4.07500000   3.61500000   4.75750000
     37 2   3.89250000   3.43250000   4.84875000
     38 2   4.44000000   3.25000000   4.94000000
     39 1   7.22070036   7.46136586   2.65875000
     40 1   6.97140073   7.39456622   2.93250000
     41 1   7.03820036   7.14526659   3.20625000
     42 1   7.28750000   7.21206622   2.56750000
     43 1   7.35429964   6.96276659   2.84125000
     44 1   7.47000000   7.52816549   2.75000000
     45 1   7.28750000   7.21206622   3.29750000
     46 1   7.60359927   7.02956622   2.93250000
     47 1   7.53679964   7.27886586   3.02375000
     48 1   6.85570036   6.82916731   3.02375000
     49 2   6.60640073   6.76236768   3.29750000
