      1 1  -0.12250000   3.06750000   2.93250000
      2 1  -0.12250000   3.43250000   2.56750000
      3 1   0.24250000   3.06750000   2.75000000
      4 1   0.42500000   2.88500000   3.02375000
      5 1   0.60750000   3.06750000   3.29750000
      6 1   0.42500000   3.25000000   2.65875000
      7 1   0.60750000   3.43250000   2.93250000
      8 1   0.06000000   3.25000000   2.84125000
      9 1   0.42500000   3.25000000   3.38875000
     10 1   0.42500000   3.61500000   3.02375000
     11 1   0.24250000   3.43250000   3.11500000
     12 1   0.97250000   3.06750000   3.11500000
     13 2   1.15500000   2.88500000   3.38875000
     14 2   1.15500000   3.25000000   3.02375000
     15 2   1.15500000   3.25000000   3.75375000
     16 2   1.15500000   3.61500000   3.38875000
     17 1   0.97250000   3.43250000   3.48000000
     18 2   1.88500000   2.88500000   3.75375000
     19 2   1.88500000   3.25000000   3.38875000
     20 2   1.88500000   3.25000000   4.11875000
     21 2   1.88500000   3.61500000   3.75375000
     22 2   2.61500000   2.88500000   4.11875000
     23 2   2.61500000   3.25000000   3.75375000
     24 2   2.61500000   3.25000000   4.48375000
     25 2   2.61500000   3.61500000   4.11875000
     26 2   3.34500000   2.88500000   4.48375000
     27 2   3.52750000   3.06750000   4.75750000
     28 2   3.34500000   3.25000000   4.11875000
     29 2   3.52750000   3.43250000   4.39250000
     30 2   3.34500000   3.25000000   4.84875000
     31 2   3.34500000   3.61500000   4.48375000
     32 2   3.89250000   3.06750000   4.57500000
     33 2   4.07500000   2.88500000   4.84875000
     34 2   4.25750000   3.06750000   5.12250000
     35 2   4.07500000   3.25000000   4.48375000
     36 2   4.25750000   3.43250000   4.75750000
     37 2   4.07500000   3.25000000   5.21375000
     38 2   4.07500000   3.61500000   4.84875000
     39 2   3.89250000   3.43250000   4.94000000
     40 2   4.62250000   3.06750000   4.94000000
     41 2   4.44000000   3.25000000   5.03125000
     42 2   4.62250000   3.43250000   5.30500000
     43 1   7.62820036   7.90736894   2.93250000
     44 1   7.94429964   7.72486894   2.56750000
     45 1   7.44570036   7.59126967   2.75000000
     46 1   7.19640073   7.52447003   3.02375000
     47 1   7.26320036   7.27517040   3.29750000
     48 1   7.51250000   7.34197003   2.65875000
     49 1   7.57929964   7.09267040   2.93250000
     50 1   7.69500000   7.65806931   2.84125000
     51 1   7.51250000   7.34197003   3.38875000
     52 1   7.82859927   7.15947003   3.02375000
     53 1   7.76179964   7.40876967   3.11500000
     54 1   7.08070036   6.95907112   3.11500000
     55 2   6.83140073   6.89227149   3.38875000
     56 2   7.14750000   6.70977149   3.02375000
     57 2   7.14750000   6.70977149   3.75375000
     58 2   7.46359927   6.52727149   3.38875000
     59 1   7.39679964   6.77657112   3.48000000
     60 2   6.46640073   6.26007294   3.75375000
     61 2   6.78250000   6.07757294   3.38875000
     62 2   6.78250000   6.07757294   4.11875000
     63 2   7.09859927   5.89507294   3.75375000
     64 2   6.10140073   5.62787440   4.11875000
     65 2   6.41750000   5.44537440   3.75375000
     66 2   6.41750000   5.44537440   4.48375000
     67 2   6.73359927   5.26287440   4.11875000
     68 2   5.73640073   4.99567585   4.48375000
     69 2   5.80320036   4.74637622   4.75750000
     70 2   6.05250000   4.81317585   4.11875000
     71 2   6.11929964   4.56387622   4.39250000
     72 2   6.05250000   4.81317585   4.84875000
     73 2   6.36859927   4.63067585   4.48375000
     74 2   5.62070036   4.43027695   4.57500000
     75 2   5.37140073   4.36347731   4.84875000
     76 2   5.43820036   4.11417767   5.12250000
     77 2   5.68750000   4.18097731   4.48375000
     78 2   5.75429964   3.93167767   4.75750000
     79 2   5.68750000   4.18097731   5.21375000
     80 2   6.00359927   3.99847731   4.84875000
     81 2   5.93679964   4.24777695   4.94000000
     82 2   5.25570036   3.79807840   4.94000000
     83 2   5.50500000   3.86487804   5.03125000
     84 2   5.57179964   3.61557840   5.30500000
     85 1   7.94429964  -1.22486894   2.93250000
     86 1   7.62820036  -1.40736894   2.56750000
     87 1   7.76179964  -0.90876967   2.75000000
     88 1   7.82859927  -0.65947003   3.02375000
     89 1   7.57929964  -0.59267040   3.29750000
     90 1   7.51250000  -0.84197003   2.65875000
     91 1   7.26320036  -0.77517040   2.93250000
     92 1   7.69500000  -1.15806931   2.84125000
     93 1   7.51250000  -0.84197003   3.38875000
     94 1   7.19640073  -1.02447003   3.02375000
     95 1   7.44570036  -1.09126967   3.11500000
     96 1   7.39679964  -0.27657112   3.11500000
     97 2   7.46359927  -0.02727149   3.38875000
     98 2   7.14750000  -0.20977149   3.02375000
     99 2   7.14750000  -0.20977149   3.75375000
    100 2   6.83140073  -0.39227149   3.38875000
    101 1   7.08070036  -0.45907112   3.48000000
    102 2   7.09859927   0.60492706   3.75375000
    103 2   6.78250000   0.42242706   3.38875000
    104 2   6.78250000   0.42242706   4.11875000
    105 2   6.46640073   0.23992706   3.75375000
    106 2   6.73359927   1.23712560   4.11875000
    107 2   6.41750000   1.05462560   3.75375000
    108 2   6.41750000   1.05462560   4.48375000
    109 2   6.10140073   0.87212560   4.11875000
    110 2   6.36859927   1.86932415   4.48375000
    111 2   6.11929964   1.93612378   4.75750000
    112 2   6.05250000   1.68682415   4.11875000
    113 2   5.80320036   1.75362378   4.39250000
    114 2   6.05250000   1.68682415   4.84875000
    115 2   5.73640073   1.50432415   4.48375000
    116 2   5.93679964   2.25222305   4.57500000
    117 2   6.00359927   2.50152269   4.84875000
    118 2   5.75429964   2.56832233   5.12250000
    119 2   5.68750000   2.31902269   4.48375000
    120 2   5.43820036   2.38582233   4.75750000
    121 2   5.68750000   2.31902269   5.21375000
    122 2   5.37140073   2.13652269   4.84875000
    123 2   5.62070036   2.06972305   4.94000000
    124 2   5.57179964   2.88442160   4.94000000
    125 2   5.50500000   2.63512196   5.03125000
    126 2   5.25570036   2.70192160   5.30500000
    127 1   5.33250000   3.06750000  10.39500000
    128 1   4.96750000   3.43250000  10.39500000
    129 1   4.96750000   3.06750000  10.03000000
    130 1   5.15000000   2.88500000   9.84750000
    131 1   5.33250000   3.06750000   9.66500000
    132 1   4.78500000   3.25000000   9.84750000
    133 1   4.96750000   3.43250000   9.66500000
    134 1   5.15000000   3.25000000  10.21250000
    135 1   5.51500000   3.25000000   9.84750000
    136 1   5.15000000   3.61500000   9.84750000
    137 1   5.33250000   3.43250000  10.03000000
    138 1   4.96750000   3.06750000   9.30000000
    139 2   5.15000000   2.88500000   9.11750000
    140 2   4.78500000   3.25000000   9.11750000
    141 2   5.51500000   3.25000000   9.11750000
    142 2   5.15000000   3.61500000   9.11750000
    143 1   5.33250000   3.43250000   9.30000000
    144 2   5.15000000   2.88500000   8.38750000
    145 2   4.78500000   3.25000000   8.38750000
