      1 1   0.60750000   3.06750000   2.93250000
      2 1   0.60750000   3.43250000   2.56750000
      3 1   0.97250000   3.06750000   2.75000000
      4 2   1.15500000   2.88500000   3.02375000
      5 2   1.33750000   3.06750000   3.29750000
      6 2   1.15500000   3.25000000   2.65875000
      7 2   1.33750000   3.43250000   2.93250000
      8 1   0.79000000   3.25000000   2.84125000
      9 2   1.15500000   3.25000000   3.38875000
     10 2   1.15500000   3.61500000   3.02375000
     11 1   0.97250000   3.43250000   3.11500000
     12 2   1.88500000   2.88500000   3.38875000
     13 2   1.88500000   3.25000000   3.02375000
     14 2   1.88500000   3.25000000   3.75375000
     15 2   1.88500000   3.61500000   3.38875000
     16 2   2.61500000   2.88500000   3.75375000
     17 2   2.61500000   3.25000000   3.38875000
     18 2   2.61500000   3.25000000   4.11875000
     19 2   2.61500000   3.61500000   3.75375000
     20 2   3.16250000   3.06750000   3.84500000
     21 2   3.34500000   2.88500000   4.11875000
     22 2   3.52750000   3.06750000   4.39250000
     23 2   3.34500000   3.25000000   3.75375000
     24 2   3.52750000   3.43250000   4.02750000
     25 2   3.34500000   3.25000000   4.48375000
     26 2   3.34500000   3.61500000   4.11875000
     27 2   3.16250000   3.43250000   4.21000000
     28 2   3.89250000   3.06750000   4.21000000
     29 2   3.71000000   3.25000000   4.30125000
     30 2   3.89250000   3.43250000   4.57500000
     31 1   5.91320036   6.49574753   2.93250000
     32 1   6.22929964   6.31324753   2.56750000
     33 1   5.73070036   6.17964826   2.75000000
     34 2   5.48140073   6.11284862   3.02375000
     35 2   5.54820036   5.86354899   3.29750000
     36 2   5.79750000   5.93034862   2.65875000
     37 2   5.86429964   5.68104899   2.93250000
     38 1   5.98000000   6.24644790   2.84125000
     39 2   5.79750000   5.93034862   3.38875000
     40 2   6.11359927   5.74784862   3.02375000
     41 1   6.04679964   5.99714826   3.11500000
     42 2   5.11640073   5.48065008   3.38875000
     43 2   5.43250000   5.29815008   3.02375000
     44 2   5.43250000   5.29815008   3.75375000
     45 2   5.74859927   5.11565008   3.38875000
     46 2   4.75140073   4.84845154   3.75375000
     47 2   5.06750000   4.66595154   3.38875000
     48 2   5.06750000   4.66595154   4.11875000
     49 2   5.38359927   4.48345154   3.75375000
     50 2   4.63570036   4.28305263   3.84500000
     51 2   4.38640073   4.21625299   4.11875000
     52 2   4.45320036   3.96695335   4.39250000
     53 2   4.70250000   4.03375299   3.75375000
     54 2   4.76929964   3.78445335   4.02750000
     55 2   4.70250000   4.03375299   4.48375000
     56 2   5.01859927   3.85125299   4.11875000
     57 2   4.95179964   4.10055263   4.21000000
     58 2   4.27070036   3.65085408   4.21000000
     59 2   4.52000000   3.71765372   4.30125000
     60 2   4.58679964   3.46835408   4.57500000
     61 1   6.22929964   0.18675247   2.93250000
     62 1   5.91320036   0.00425247   2.56750000
     63 1   6.04679964   0.50285174   2.75000000
     64 2   6.11359927   0.75215138   3.02375000
     65 2   5.86429964   0.81895101   3.29750000
     66 2   5.79750000   0.56965138   2.65875000
     67 2   5.54820036   0.63645101   2.93250000
     68 1   5.98000000   0.25355210   2.84125000
     69 2   5.79750000   0.56965138   3.38875000
     70 2   5.48140073   0.38715138   3.02375000
     71 1   5.73070036   0.32035174   3.11500000
     72 2   5.74859927   1.38434992   3.38875000
     73 2   5.43250000   1.20184992   3.02375000
     74 2   5.43250000   1.20184992   3.75375000
     75 2   5.11640073   1.01934992   3.38875000
     76 2   5.38359927   2.01654846   3.75375000
     77 2   5.06750000   1.83404846   3.38875000
     78 2   5.06750000   1.83404846   4.11875000
     79 2   4.75140073   1.65154846   3.75375000
     80 2   4.95179964   2.39944737   3.84500000
     81 2   5.01859927   2.64874701   4.11875000
     82 2   4.76929964   2.71554665   4.39250000
     83 2   4.70250000   2.46624701   3.75375000
     84 2   4.45320036   2.53304665   4.02750000
     85 2   4.70250000   2.46624701   4.48375000
     86 2   4.38640073   2.28374701   4.11875000
     87 2   4.63570036   2.21694737   4.21000000
     88 2   4.58679964   3.03164592   4.21000000
     89 2   4.52000000   2.78234628   4.30125000
     90 2   4.27070036   2.84914592   4.57500000
     91 1   4.43250000   3.06750000   8.03500000
     92 1   4.06750000   3.43250000   8.03500000
     93 1   4.06750000   3.06750000   7.67000000
     94 2   4.25000000   2.88500000   7.48750000
     95 2   4.43250000   3.06750000   7.30500000
     96 2   3.88500000   3.25000000   7.48750000
     97 2   4.06750000   3.43250000   7.30500000
     98 1   4.25000000   3.25000000   7.85250000
     99 2   4.61500000   3.25000000   7.48750000
    100 2   4.25000000   3.61500000   7.48750000
    101 1   4.43250000   3.43250000   7.67000000
    102 2   4.25000000   2.88500000   6.75750000
    103 2   3.88500000   3.25000000   6.75750000
    104 2   4.61500000   3.25000000   6.75750000
    105 2   4.25000000   3.61500000   6.75750000
    106 2   4.25000000   2.88500000   6.02750000
    107 2   3.88500000   3.25000000   6.02750000
    108 2   4.61500000   3.25000000   6.02750000
    109 2   4.25000000   3.61500000   6.02750000
    110 2   4.06750000   3.06750000   5.48000000
    111 2   4.25000000   2.88500000   5.29750000
    112 2   4.43250000   3.06750000   5.11500000
    113 2   3.88500000   3.25000000   5.29750000
    114 2   4.06750000   3.43250000   5.11500000
    115 2   4.61500000   3.25000000   5.29750000
    116 2   4.25000000   3.61500000   5.29750000
    117 2   4.43250000   3.43250000   5.48000000
    118 2   4.06750000   3.06750000   4.75000000
    119 2   4.25000000   3.25000000   4.93250000
    120 2   4.43250000   3.43250000   4.75000000
